Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,C_Elec_6.3x7.7,102.9335,-87.376,270,top
C2,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.857,-57.15,90,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.3,-64.389,180,top
C4,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.824,-69.342,180,top
C5,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.826,-64.008,0,top
C6,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.8255,-67.056,270,top
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.191,-51.943,180,top
C8,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.7785,-72.39,270,top
C9,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.492,-72.39,270,top
C10,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.11,-72.39,270,top
C11,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.253,-53.594,135,top
C12,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.189,-61.341,270,top
C13,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.395,-68.072,270,top
C14,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.382,-62.484,270,top
C15,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.08,-69.088,180,top
C16,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.508,-53.975,180,top
C17,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.8105,-72.39,270,top
C18,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.3965,-72.39,270,top
C19,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.2055,-72.39,270,top
C20,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.428,-54.991,90,top
